Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Fall under,area/location,Classified area,due to fenceless border I put them under,Alive/dead,cause of death,Area,Movement,conditions,Human presence,link
214,kellylukay,Kelly,Instagram,Winter,19/8/2016,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,
215,Samara Private Game Reserve,,Facebook,Winter,5/8/2016,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,lying on the ground,good,yes,https://web.facebook.com/SamaraKaroo/posts/10154490598724276
216,marnus.ochse,Marnus Ochse,Instagram,Winter,4/8/2019,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,foraging,good,,https://www.instagram.com/p/B0wafEXH4ew/
217,marnus.ochse,Marnus Ochse,Instagram,Winter,28/8/2017,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,ground surface,walking,good,,https://www.instagram.com/p/BYVpnIvgyIq/
218,marnus.ochse,Marnus Ochse,Instagram,Winter,7/8/2017,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking and foraging,good,,https://www.instagram.com/p/BXfXN6EAQvU/
219,marnus.ochse,Marnus Ochse,Instagram,Winter,4/6/2017,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.instagram.com/p/BU7F2g9AQ9q/
220,Ayesha Cantor,Ayesha Cantor,Facebook,Winter,26/8/2016,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.facebook.com/photo.php?fbid=10154669983408646&set=pb.613348645.-2207520000..&type=3
221,rovingbrowncow,,Instagram,Winter,15/7/2016,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,burrow,digging,good,,
222,Isak Pretorius Wildlife Photography,Isak Pretorius,Facebook,Winter,23/8/2013,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://web.facebook.com/352430004810518/photos/a.355221167864735/538461039540746
223,Ayesha Cantor,Ayesha Cantor,Facebook,Winter,5/8/2016,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,"not good, skinny",,https://www.facebook.com/photo.php?fbid=10154605797873646&set=pb.613348645.-2207520000..&type=3
224,Ayesha Cantor,Malcolm Bean,Facebook,Winter,12/7/2016,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,feeding,good,,https://www.facebook.com/photo.php?fbid=10154541478418646&set=pb.613348645.-2207520000..&type=3
225,roxannereidsa,Roxanne,Instagram,Spring,1/9/2017,afternoon,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.instagram.com/p/BYfHYwZlt2I/
226,jody_bloomer,Jody Bloomer,Instagram,Spring,18/9/2016,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,
227,cdgrebe,,Instagram,Autumn,16/5/2017,daylight,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,feeding,good,,
228,roarafrica,,Instagram,Winter,14/7/2016,morning,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,
229,Babie Odendaal,,Instagram,Summer,2/12/2018,evening,South Africa,Eastern Cape,Samara Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.instagram.com/p/Bq3XLIohs7l/
230,Mosaic Tourism,Craig Duffield,Facebook,Winter,8/8/2016,afternoon,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,walking,"not good, skinny",,https://www.facebook.com/mosaictourism/photos/a.1312667698766608/1312667985433246/
231,africathisiswhyilivehere,,Instagram,Winter,17/7/2016,afternoon,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BH9wPaogJL5/
232,africathisiswhyilivehere,,Instagram,Winter,31/7/2016,afternoon,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,digging and feeding,good,,https://www.instagram.com/p/BIh4QQ-Agq_/
233,africathisiswhyilivehere,,Instagram,Winter,1/8/2016,afternoon,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BIj192AAujj/
234,africathisiswhyilivehere,,Instagram,Winter,4/8/2016,daylight,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,vegetation,paused,good,,https://www.instagram.com/p/BIswxKWAsOd/
235,africathisiswhyilivehere,,Instagram,Winter,5/8/2016,daylight,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,vegetation,walking,not bad,,https://www.instagram.com/p/BIvBPHEAcJ0/
236,epicafricatravelsa,,Instagram,Winter,17/6/2018,daylight,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BkHMc9UlmMD/
237,karenjbay,Karen Christensen,Instagram,Spring,28/9/2016,afternoon,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BK5e_Z0hOZS/
238,Barry Christensen,Barry Christensen,Facebook,Winter,2/8/2016,afternoon,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,walking,not good,,https://www.facebook.com/photo?fbid=1676025179390098&set=pcb.10154281382699336
239,Evelyn Visage,,Facebook,Spring,3/9/2016,daylight,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,burrow,digging,not good,,https://web.facebook.com/photo/?fbid=660966050719694&set=pcb.10155169273381978
240,Geoff Applewhite,,Facebook,Winter,7/8/2016,afternoon,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/photo/?fbid=10153942383126701&set=gm.10154296043689336
241,Colin Grenfell Photography,Colin,Facebook,Winter,17/7/2016,daylight,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,road,crossing the road,good,,https://web.facebook.com/photo/?fbid=850040041768976&set=a.850039931768987
242,Leon Coleske,Leon,Facebook,Spring,15/10/2016,daylight,South Africa,Eastern Cape,Addo Elephant National Park,Greater Addo ,,Eastern Cape-other,,alive,,grasses,feeding on a termite mound,good,,https://web.facebook.com/photo/?fbid=10209284840070136&set=gm.10154501209274336
243,Mount Camdeboo,,Facebook,Autumn,17/4/2017,daylight,South Africa,Eastern Cape,Mount Camdeboo Private Game Reserve,Greater Addo ,,Great Karoo,,alive,,ground surface,digging a burrow,"not good, skinny",,https://www.facebook.com/MountCamdeboo/photos/1404614339613033
244,Mount Camdeboo,,Facebook,Autumn,29/5/2015,daylight,South Africa,Eastern Cape,Mount Camdeboo Private Game Reserve,Greater Addo ,,Great Karoo,,alive,,grasses,walking,"not good, skinny",,https://www.facebook.com/MountCamdeboo/photos/835660636508409
245,Mount Camdeboo,Byron,Facebook,Winter,27/6/2013,daylight,South Africa,Eastern Cape,Mount Camdeboo Private Game Reserve,Greater Addo ,,Great Karoo,,alive,,vegetation,walking,"not good, skinny",,https://www.facebook.com/MountCamdeboo/photos/483881615019648
246,Mount Camdeboo,,Facebook,Spring,11/9/2011,daylight,South Africa,Eastern Cape,Mount Camdeboo Private Game Reserve,Greater Addo ,,Great Karoo,,alive,,vegetation,walking,"not good, skinny",,https://www.facebook.com/MountCamdeboo/photos/174101385997674
247,kuduskop,,Instagram,Summer,17/1/2017,daylight,South Africa,Eastern Cape,Koedoeskop Private Mountain Reserve,Greater Addo ,,Great Karoo,,alive,,grasses,walking,good,,
248,Africa Unplugged-Sanette Jonker,Sanette Jonker,Facebook,Winter,1/7/2019,afternoon,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.facebook.com/AfricaUnpluggedNow/photos/pcb.1217165548463981/2393717137514488/
249,Monica Viljoen Haasbroek,Monica,Facebook,Spring,22/9/2019,afternoon,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,alive,,grasses,foraging,good,,https://www.facebook.com/photo?fbid=2547975245222137&set=pcb.1210242945822908
250,Pru Rigby,Pru Rigby,Facebook,Winter,27/8/2019,afternoon,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,alive,,road,walking,good,,https://www.facebook.com/photo?fbid=10156152402111290&set=pcb.1257365897777279
251,africathisiswhyilivehere,,Instagram,Winter,28/6/2019,afternoon,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,alive,,vegetation,walking,good,,https://www.instagram.com/p/BzQu5s7At9J/
252,africathisiswhyilivehere,,Instagram,Winter,2/7/2019,afternoon,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,alive,,vegetation,walking,good,,https://www.instagram.com/p/Bza5faOgCAE/
253,Desigan Naidoo,Desigan Naidoo,Facebook,Winter,16/6/2019,evening,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,alive,,road,walking,good,,https://www.facebook.com/photo?fbid=2481143731908884&set=a.145222705501010
254,Ayesha Cantor,Ayesha Cantor,Facebook,Winter,2/7/2019,afternoon,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.facebook.com/photo.php?fbid=10157785172733646&set=pb.613348645.-2207520000..&type=3
255,Almari Van Eeden Robbertse,,Facebook,Summer,22/12/2015,morning,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,alive,,ground surface,basking ,good,,https://web.facebook.com/photo/?fbid=1137685486243444&set=pcb.522929397887603
256,Megan Bradfield Taplin,,Facebook,Spring,20/11/2015,evening,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,dead,lion,,,,,https://www.facebook.com/photo.php?fbid=10153142923801498&set=gm.513626015484608&type=3&theater&ifg=1
257,Fayroush Ludick,,Facebook,Winter,7/7/2015,evening,South Africa,Eastern Cape,Mountain Zebra National Park,,,Eastern Cape-other,,dead,lion,,,,,
258,kariega.game.reserve,J Dagemark,Instagram,Spring,3/9/2019,afternoon,South Africa,Eastern Cape,Kariega Game Reserve,,situated along the Garden route,Eastern Cape-other,,alive,,grasses,walking,not bad,,https://www.instagram.com/p/B19fDPFAnmx/
259,kariega.game.reserve,Brendon,Instagram,Summer,31/1/2019,daylight,South Africa,Eastern Cape,Kariega Game Reserve,,situated along the Garden route,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BtTrDi6Hqk-/
260,kariega.game.reserve,camera trap,Instagram,Summer,9/12/2019,evening,South Africa,Eastern Cape,Kariega Game Reserve,,situated along the Garden route,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BsLx5LHFEIC/
261,kariega.game.reserve,Jordan,Instagram,Winter,9/7/2017,daylight,South Africa,Eastern Cape,Kariega Game Reserve,,situated along the Garden route,Eastern Cape-other,,alive,,grasses,running away,good,,https://www.instagram.com/p/BWU5xpJAj6g/
262,kariega.game.reserve,Louis Fourie,Instagram,Winter,29/7/2016,daylight,South Africa,Eastern Cape,Kariega Game Reserve,,situated along the Garden route,Eastern Cape-other,,alive,,grasses,lying on the ground,good,,https://www.instagram.com/p/BIcGaAbD0Tj/
263,kariega.game.reserve,Chelee Brown,Instagram,Winter,1/7/2016,daylight,South Africa,Eastern Cape,Kariega Game Reserve,,situated along the Garden route,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BHVJ79XDO_d/
264,kariega.nature.college,Jacques Matthysen,Instagram,Autumn,16/4/2018,daylight,South Africa,Eastern Cape,Kariega Game Reserve,,situated along the Garden route,Eastern Cape-other,,alive,,grasses,walking,"not good, bones are showing",,https://www.instagram.com/p/Bhooivgn7Ts/
265,brendon_photography,Brendon,Instagram,Winter,27/6/2016,daylight,South Africa,Eastern Cape,Kariega Game Reserve,,situated along the Garden route,Eastern Cape-other,,alive,,vegetation,walking,good,,
266,kwandwe,Jean Pierre,Instagram,Autumn,15/3/2018,afternoon,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,thick vegetation,walking,not good,,https://www.instagram.com/p/BgV3-e5FUH_/
267,kwandwe,Doc Ndyawe,Instagram,Winter,18/6/2019,afternoon,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,thick vegetation,walking,good,,https://www.instagram.com/p/By2Y1JllMwn/
268,kwandwe,Ryan Hillier,Instagram,Autumn,30/5/2019,afternoon,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,ground surface,walking,good,,https://www.instagram.com/p/ByFTE_mJIRf/
269,Kwandwe Private Game Reserve,Ryan Hillier,Facebook,Summer,19/1/2013,evening,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/Kwandwe/photos/a.580668508614555/580668741947865
270,Kwandwe Private Game Reserve,Ryan Hillier,Facebook,Winter,28/6/2012,afternoon,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,digging,good,,https://web.facebook.com/Kwandwe/photos/a.196316693716407/488348244513249
271,Kwandwe Private Game Reserve,Ryan Hillier,Facebook,Winter,10/7/2012,afternoon,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/Kwandwe/photos/a.196316693716407/494412840573456
272,Kwandwe Private Game Reserve,Marco,Facebook,Summer,8/12/2015,daylight,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,dead,lion,grasses,killed by a lion,good,,https://web.facebook.com/Kwandwe/photos/a.196316693716407/1184751418206258
273,Kwandwe Private Game Reserve,,Facebook,Winter,24/6/2012,daylight,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,paused,good,,https://web.facebook.com/Kwandwe/photos/a.196316693716407/485858851428855
274,Kwandwe Private Game Reserve,Ruan,Facebook,Winter,8/7/2017,afternoon,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/Kwandwe/photos/a.196316693716407/1726821377332590
275,James Ball,James Ball,Facebook,Winter,18/7/2012,daylight,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,foraging,good,,https://web.facebook.com/james.ball.5283/videos/10150924828296394
276,Kwandwe Private Game Reserve,JP,Facebook,Autumn,15/3/2018,afternoon,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,digging,not good,,https://web.facebook.com/Kwandwe/photos/a.196316693716407/2004209566260435/
277,Alfie Curling,,Facebook,Spring,2/9/2012,daylight,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,foraging,good,,https://web.facebook.com/alfie.curling/videos/10151067517987075
278,Kwandwe Private Game Reserve,,Facebook,Winter,12/7/2012,daylight,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,walking,good,yes,https://web.facebook.com/Kwandwe/photos/a.196316693716407/495314880483252
279,Kwandwe Private Game Reserve,,Facebook,Winter,22/6/2012,afternoon,South Africa,Eastern Cape,Kwandwe Private Game Reserve,,,Eastern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/Kwandwe/photos/a.196316693716407/481778991836841
280,thelionheartexperience,,Instagram,Winter,9/7/2017,evening,South Africa,Eastern Cape,Baviaanskloof,,,Eastern Cape-other,,alive,,road,crossing the road,good,,
281,erich_linde,,Instagram,Summer,6/1/2017,afternoon,South Africa,Eastern Cape,,,,Eastern Cape-other,,alive,,ground surface,walking,good,,
282,schotia_safaris,camera trap,Instagram,Spring,1/11/2016,evening,South Africa,Eastern Cape,Schotia Safaris Private Game Reserve,,,Eastern Cape-other,,alive,,burrow,paused,good,,
283,Pomeroy lodges,camera trap,Instagram,Autumn,16/5/2017,evening,South Africa,Eastern Cape,,,,Eastern Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/B8bDfJNl8ns/
284,vivababoon,,Instagram,Winter,15/7/2017,afternoon,South Africa,Eastern Cape,,Great Karoo,,Eastern Cape-other,,alive,,ground surface,feeding,good,yes,https://www.instagram.com/p/BWj7xTFhb4T/
285,Villa Reinet Guest House,,Facebook,Winter,6/8/2012,daylight,South Africa,Eastern Cape,Mount Camdeboo Private Game Reserve,Great Karoo,near Graaff-Reinet,Great Karoo,,alive,,grasses,walking,good,,https://www.facebook.com/Villa-Reinet-Guest-House-259150790781186/photos/484940844868845
286,shamwariprivategamereserve,camera trap,Instagram,Winter,15/7/2015,evening,South Africa,Eastern Cape,Shamwari Game Reserve,Great Karoo,between Graaff-Reinet and Nieu Bethesda b,Great Karoo,,alive,,waterhole,drinking water,good,,https://www.instagram.com/p/5CIUCmvPmF/
287,teamshamwari,Toivo Voll,Instagram,Spring,18/11/2016,evening,South Africa,Eastern Cape,Shamwari Game Reserve,Great Karoo,between Graaff-Reinet and Nieu Bethesda b,Great Karoo,,alive,,grasses,walking,good,,https://www.instagram.com/p/BM9RkITDBUO/
288,mike.fabricius,Mike Fabricius,Instagram,Summer,6/2/2015,evening,South Africa,Eastern Cape,Shamwari Game Reserve,Great Karoo,between Graaff-Reinet and Nieu Bethesda b,Great Karoo,,alive,,grasses,walking,good,,https://www.instagram.com/p/yv6KOwsmMk/
289,binnihintz,Benni,Instagram,Spring,11/10/2014,evening,South Africa,Eastern Cape,Shamwari Game Reserve,Great Karoo,between Graaff-Reinet and Nieu Bethesda b,Great Karoo,,alive,,grasses,walking,good,,
290,Legend Derry Photography,Legend Derry,Facebook,Winter,1/7/2013,evening,South Africa,Eastern Cape,Amakhala Game Reserve,,,Eastern Cape-other,,alive,,road,walking after drinking water,good,,https://web.facebook.com/LegendDerryPhotography/photos/594354317271965
291,Amakhala Safari Lodge-Amakhala Game Reserve,,Facebook,Spring,15/10/2013,afternoon,South Africa,Eastern Cape,Amakhala Game Reserve,,,Eastern Cape-other,,alive,,grasses,digging on a mound,good,,https://web.facebook.com/amakhalasafarilodge/photos/a.405782752814603/589156637810546
292,Amakhala Game Reserve,Jason Smith,Facebook,Autumn,10/3/2017,daylight,South Africa,Eastern Cape,Amakhala Game Reserve,,,Eastern Cape-other,,alive,,road,crossing the road,good,,https://web.facebook.com/amakhalareserve/photos/a.110713302305754/1363314543712284
293,Amakhala Game Reserve,camera trap,Facebook,Spring,25/11/2012,daylight,South Africa,Eastern Cape,Amakhala Game Reserve,,,Eastern Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/amakhalareserve/photos/a.110713302305754/467378623305885
294,Bergplaats Game Lodge,camera trap,Facebook,Spring,10/10/2011,evening,South Africa,Western Cape,Bergplaats Game Lodge,Great Karoo,,Western Cape-other,,alive,,waterhole,walking away after drinking water,good,,https://web.facebook.com/BERGPLAATS-GAME-LODGE-106806006031246/photos/260188747359637
295,Witteberg Nature Reserve,camera trap,Facebook,Autumn,22/4/2017,evening,South Africa,Western Cape,Witteberg Nature Reserve,Great Karoo,,Western Cape-other,,alive,,ground surface,walking,good,,
296,Blue Hill Nature Reserve,camera trap,Facebook,Spring,16/11/2018,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,ground surface,walking,good,,https://web.facebook.com/bluehillnaturereserve/photos/2849994821684061
297,Blue Hill Nature Reserve,camera trap,Facebook,Summer,22/2/2018,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/bluehillnaturereserve/photos/2144249938925223
298,Blue Hill Nature Reserve,camera trap,Facebook,Autumn,20/4/2017,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/bluehillnaturereserve/photos/a.1765689996781221/1765690613447826
299,Blue Hill Nature Reserve,camera trap,Facebook,Spring,7/11/2016,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/bluehillnaturereserve/photos/a.1534445513239005/1534468433236713
300,Blue Hill Nature Reserve,camera trap,Facebook,Summer,11/12/2014,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/bluehillnaturereserve/photos/a.789181257765438/1029207110429517
301,Blue Hill Nature Reserve,camera trap,Facebook,Summer,26/2/2016,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/bluehillnaturereserve/photos/a.789181257765438/1315078225175736
302,Blue Hill Nature Reserve,camera trap,Facebook,Autumn,24/3/2015,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/bluehillnaturereserve/photos/a.789181257765438/1103086986374862
303,Blue Hill Nature Reserve,camera trap,Facebook,Autumn,4/5/2015,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/bluehillnaturereserve/videos/1115634151786812
304,Blue Hill Nature Reserve,camera trap,Facebook,Winter,16/6/2019,evening,South Africa,Western Cape,Blue Hill Nature Reserve,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/bluehillnaturereserve/videos/343458313037915/
305,karooridgeconservancy,,Instagram,Spring,18/10/2018,daylight,South Africa,Western Cape,Karoo Ridge Conservancy,Great Karoo,,Western Cape-other,,alive,,grasses,walking,good,,https://www.instagram.com/p/BpEtGEolZVf/
306,Drie Kuilen Nature Reserve,,Facebook,Autumn,16/5/2014,daylight,South Africa,Western Cape,Drie Kuilen Nature Reserve,Klein Karoo,,Western Cape-other,,alive,,grasses,feeding,good,,https://web.facebook.com/driekuilen/photos/a.712365302135053/712365608801689
307,Drie Kuilen Nature Reserve,,Facebook,Winter,14/8/2014,daylight,South Africa,Western Cape,Drie Kuilen Nature Reserve,Klein Karoo,,Western Cape-other,,alive,,shrubs,feeding,good,,https://web.facebook.com/driekuilen/photos/pcb.760703643967885/760703293967920
308,Drie Kuilen Nature Reserve,,Facebook,Winter,16/8/2014,daylight,South Africa,Western Cape,Drie Kuilen Nature Reserve,Klein Karoo,,Western Cape-other,,alive,,ground surface,walking,good,,https://web.facebook.com/driekuilen/photos/pcb.761771270527789/761771150527801/
309,Reinette Hamilton,,Facebook,Autumn,31/3/2018,daylight,South Africa,Western Cape,Moose Valley Nature Reserve,Klein Karoo,,Western Cape-other,,alive,,ground surface,walking,good,,https://web.facebook.com/100009762916255/videos/pcb.1874798149243977/610880842580674
310,rooibergsafaris,Chef William,Instagram,Winter,5/6/2017,afternoon,South Africa,Western Cape,Rooiberg Safaris,Klein Karoo,,Western Cape-other,,alive,,road,walking,good,,https://www.instagram.com/p/BU9pUqmhNDM/
311,Cape Leopard Trust,camera trap,Facebook,Spring,27/2/2012,evening,South Africa,Western Cape,near Villiersdorp,,,Western Cape-other,,alive,,grasses,walking,good,,https://www.facebook.com/capeleopardtrust/photos/a.754591127898744/3672929989398162/
312,lulufontein,camera trap,Instagram,Summer,10/1/2016,evening,South Africa,Western Cape,,Klein Karoo,,Western Cape-other,,alive,,ground surface,feeding,good,,
313,lulufontein,camera trap,Instagram,Winter,30/7/2015,evening,South Africa,Western Cape,,Klein Karoo,,Western Cape-other,,alive,,grasses,walking,good,,
314,Drie Kuilen Nature Reserve,camera trap,Facebook,Spring,5/11/2012,evening,South Africa,Western Cape,Haarwegskloof,Renostervel Reserve,,Western Cape-other,,alive,,grasses,feeding,good,,https://web.facebook.com/OverbergRenosterveld/photos/a.315735365216667/587429634713904/
315,Silflay Reserve,camera trap,Facebook,Winter,24/7/2019,evening,South Africa,Western Cape,Silflay Reserve,Renostervel Reserve,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/photo?fbid=407634533185713&set=pcb.407635369852296
316,Wolwekraal Nature Reserve,camera trap,Facebook,Spring,5/11/2017,evening,South Africa,Western Cape,Wolwekraal Nature Reserve,,,Western Cape-other,,alive,,ground surface,walking,good,,https://web.facebook.com/WolwekraalNatureReserve/photos/pcb.158425148233365/158424838233396/
317,Wolwekraal Nature Reserve,camera trap,Facebook,Summer,20/12/2017,evening,South Africa,Western Cape,Wolwekraal Nature Reserve,,,Western Cape-other,,alive,,grasses,paused,good,,https://web.facebook.com/WolwekraalNatureReserve/photos/a.103037033772177/179228002819746/
318,Wolwekraal Nature Reserve,camera trap,Facebook,Summer,23/1/2019,evening,South Africa,Western Cape,Wolwekraal Nature Reserve,,,Western Cape-other,,alive,,ground surface,walking,good,,https://web.facebook.com/WolwekraalNatureReserve/photos/a.103037033772177/413348796074331/
319,Wolwekraal Nature Reserve,camera trap,Facebook,Autumn,24/4/2019,evening,South Africa,Western Cape,Wolwekraal Nature Reserve,,,Western Cape-other,,alive,,ground surface,walking,good,,https://web.facebook.com/WolwekraalNatureReserve/photos/pcb.464327884309755/464327857643091/
320,Farm 215-nature retreat & fynbos reserve,camera trap,Facebook,Spring,21/11/2016,evening,South Africa,Western Cape,Platbos Forest Reserve,,,Western Cape-other,,alive,,grasses,walking,good,,https://web.facebook.com/farm215/photos/a.1374526135900649/1374526275900635/
321,Bontebok Ridge Reserve,,Facebook,Autumn,1/3/2017,morning,South Africa,Western Cape,Bontebok Ridge Reserve,,,Western Cape-other,,alive,,burrow,digging,,,https://web.facebook.com/bontebokridge/videos/1570294412999427
322,Bontebok Ridge Reserve,camera trap,Facebook,Summer,20/1/2012,evening,South Africa,Western Cape,Bontebok Ridge Reserve,,,Western Cape-other,,alive,,grasses,crossing a fence,good,,https://web.facebook.com/bontebokridge/photos/a.383246148370932/383246435037570
323,Landmark Leopard & Predator Project,,Facebook,Summer,5/12/2015,afternoon,South Africa,Western Cape,,,,Western Cape-other,,dead,humans,ground surface,,,,
324,menseselense,camera trap,Instagram,Summer,23/1/2019,evening,South Africa,Western Cape,Koppieskraal,,,Western Cape-other,,alive,,ground surface,walking,good,,https://www.instagram.com/p/BtbPgxKgHEW/
325,Enviro-Insight,camera trap,Facebook,Spring,18/11/2015,evening,South Africa,Eastern Cape,,Great Karoo,,Eastern Cape-other,,alive,,road,attempted mating event,good,,https://web.facebook.com/enviro.insight.sa/photos/a.196974317061876/910847655674535
