Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Falls under,Comment on area/Location,Classified area,Due to fenceless border I put them under,Alive/dead,Area,Movement,Sex,Human presence,link
311,latest Sightings-Kruger,Patrick,Facebook,Winter,10/7/2016,morning,South Africa,Mpumalanga,Kruger National Park,,Crocodile Bridge,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,bushes,walking,,yes,https://web.facebook.com/photo?fbid=1131587996911528&set=bc.AboNBoS0DbQY55eyINoXFtlXZ_Y-147wGNi31kHEUx9Q4LZGQ5dr2wuED2xHru2C4xudMeAjgr99WUjd5qSj7CmQVYIlavkZ1x6lN0_9eeuGRHNDMTlxUJBqpxjQxGpNzcK3Cv1hTcJpaS0YX6vTWXl1JyGLWEhv-Qut6YbozIkyB1gPzDYbkUCvHhL7i4cI0Wo&opaqueCursor=AbqyXVFJ48c4Rg7Nctyx1vBkqFgSQ8ocgvBcsDueww8wUkNq-_7NAPTtz5qhszJLj7PWakWou7LoibzChh4BkxHWLjcE-fMQt-SN29qf4i6uI8jhxFxSDvGoto9T2_VwsGWAg-oa_7irGTWT5H6D39zauPooPKSAJZTiZTAKlkCKJLmsTQ0zZ2xPDcE3GNI1ygPJ5UJVB8if1JZSKuMHd8xekGCODa7B8DLnLizaYx1YbX_GHFtaHzeZtUOxdzp-9xc_JMV7m0g8zs2qKNxhEAoNw5vEoOan5NQDZwzA7bXolAqj8DeVD6yXu-OtSZuXDaF5nZKc5yzERIsxaYIFZ4ux95l4kxDbl7UL0itNLd7DIDkffYQF1K2arduHif-BXsxgi3v6e09ptrnTLwP_U_lj2mssXT5aamHDy1OBVrrhTXGHp8sOGMsJ1xlwC5NdRe1ZkWq5XvLgoeAFUd6NUYAv0rVwmJAT1hUV2u4qBAZXSchBKttTfWE5Q7adHn9lgSY
312,Stefania Carla Pitt-Fotakis,Stefania,Facebook,Winter,25/6/2014,afternoon,South Africa,Mpumalanga,Kruger National Park,,Satara camp,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=10152120935821338&set=bc.AbqeJaNWDJgt7oMOopqMzDpi4xgFI0Rz64BZh-uhisiuuYYbptl25nycLmjHDlUqPiyQTvZphJW0cEXt0469CPdJhDb1kozkYwuLSrdO7UKUChaJxWwOApTqs0M06ru9hsaWK18tg4lY79NB5shSz_K4g_AFtBQjv6gCv04yVsUCmYJwSA760SXKt6EI3BsEgvA&opaqueCursor=AbpD04lHdIAFZc5Vo_gTKLkWzWiekWX9QLw5Lz0Qagrr52lmznaDoDVb3oE0NaUOvaxG5CieCZYL-xrfeMCMZwPBVP9_LuFEMCDsz6x0XMfrNomQY25Qb3StYiWit93wY7ymD1rCgs0RMqr1OTMlFC59iaqas0xiJ4K2N21LwA27GBfkEfBoaD9ng3a3RSmv9Sjo8zBLRSDClrtHW8p63iaNslMNcfLDiEM0PYwigf_LBMre_3jxKdqflpyOeHZ7kog0B513jEETBKHlaMivGdrHP5wBRvG662TO3l8FmjWAu1eZatDLEU3rp_9ztezc0zSPB7DRuVeFIGFjEJjYkBArZEU9rBD8tobiU0ue21zlxmo0kk8-Xj569Rsb16agxYOvYbSqwvNcaXefdtECWznKXnZeu9YpH3hi07JyMaPuvGCT3MjQhojyAmpnRZkFQOZCP7nLH8eoBuaDFA35I8SMfLzhCJTOa9Whx7u_czctLxD1pNTFbl4TJJ9xg4IoVJDk-X0rhdCct-eVJW-D0UNkcoybURpddvuIlsws3wObld0pQyyfvByMYbDSraHouaE
313,latest Sightings-Kruger,DiscoverKruger,Facebook,Spring,3/10/2012,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,vegetation,walking,,,https://web.facebook.com/photo?fbid=400347423368926&set=bc.Abo9iMiZ0uO2Pda0x-h0jEMHcH6Y4nSpAlA1RytseX0MzgqZfGW4jADtBPs706dDxrPbiITBTaZhwbmPec3914OuRm9Ooq71QLm7O5ucWNlIoPPFUGCG2r_2xDhceq1PBbqv9YaP1CsynvZ_FAdkZ0kOF4PpmRkmrzJj-fXox6hxxrdZeWsllinvXoGjJ30Q2TQ&opaqueCursor=AbocKYKnWEVbPuyEo2CPl6cnWJr8nBkDLyTIcFRxWNn4VhuNOvDjepCbSZEq_tUUvOitQ25udXSILNSAgslYk8phLPBkcWI4ywuqTOP2Sa2sTKwfQ1KXEhalJBS4dtVVAcI3C5eJ6vj4mJwxkVOER_f-DAlx79Ji3rLQHpOf7RsVfcRZt2Ft8bTeVX98Cair5n7ejarTG7AEnn0XNU6xhCwo388PB5-ZV_6Zz5HuLiNixwYXRxJs9kqoNzxqnzldbuGBcRpvWw3wL4PPUunanZiW2O0FGUwA1WEvSwqb8TfZUx8KGHq2I03NLY_a3VZjO35oxqNm4H_tLVS1BlUqvQric3Tl6wEOTbXv547sdKGyDdksVl04BGM8EmrnOfodaZl9ctYIzSJdWV-l3KU6g1rx-yxe2fdaqVJDntmLvaWhR6tYVLVthfBGEIv_gm1JAIFT6RXZ03FSL2u5WvH9E4q4lIrGYu90BSrxm2J3fiLn-cbK02d0JoECfoVdc4vH9cEXiniJ5yw5dvhr6XLdVXc6G9LcjkxM54tdqQO9x2g35MZT_8SV7k3VmJM_XgNQSFc
314,latest Sightings-Kruger,Mouton,Facebook,Winter,12/6/2016,morning,South Africa,Mpumalanga,Kruger National Park,,H4-2,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=1117129325024062&set=bc.Abr6cZuoKKswh9iz6bvhtYV1IRq2L3uLquY7Mtt1MJ4ektN9EHwen8CO2_664_RJAjmXeLCsOzKCxDnSMLxXzVrDY91rZxPUMerb-aRcDA123wpCOqyzkkGUF-N6fZ67RPZ4d7sXA-X8v4qJ2u7nHfCahX4-M8F7MI4aH4xDB92nAYN0gumqrcxahKSRjWjLrrk&opaqueCursor=Abpr6V15eG_plvr8-6FOmclCa99lRgTkY4oqP3rNU4nbjm0Fk8OycnX76JNjoASDk1Z4TQJ09n4DU2mEOj2CEkyA-mFRWtbwfchhNfURgmreHv5T-iWRswpM-g6rGWy3uuSYOBt9ZObgCKvgMTTxQWZOKJozXa66XnZ9XAqrjAgMf_by7VPYO5VMZqGMX5y3HDwyfcq9nx7_Mu-ct0-jq6KY-g9CPZZVnqJ7iKj0S07Fz4jySH55zqsncWmWht_QmNbdULzoPPt9r2eYgkr-T1u9qRI8eeIqZAS8EOIK9IG-dMJL5iON6IWVNoC_qtjIYb4nIObcRHzxCQkHqD2zYO2XlvbCpV2MhUe5TDtIoZ27cldFT1BjkCeLpWVIvFTaCHLPpQLnPLu7ZdOM1Ovfpanp-x_B7Kji7SbffET348WA-layZ4-PwTsD_VJziKcuGc8xAFgfqRWRJ3NbymqVGSAEqouSFCfhap0cA5o86_BR_tN24cHwVY3h1NTfFW5naOQ5jbyS_IlIvhgeiqS8fbIinh1fXYIrXwsXaw-iOkZ7Xw
315,latest Sightings-Kruger,MIcPhotoZA,Facebook,Winter,6/7/2016,daylight,South Africa,Mpumalanga,Kruger National Park,,near Crocodile Bridge,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=1133456516724676&set=bc.AbqkKu76C_vU8NnXgqsoCHFYYeXqHsyIKkfHWNQhCNsg6KkwNytFfe37JH2Re-Dcc-ys4yyfygXqAm5oNASSJxxbZJxoXhpIjenPlGRQ86eQ0JOn2LvRK-6R558ODUsvAu6vYPejC9J5cvHEWjhJw12N6xBLXyPE9c_Y9CAlkPhO09LndqZyAid4Iz0NZ5GqAVk&opaqueCursor=AborkuBjyLj8CPf5t5sOzxFniv53kmuTPrNmOjpC0_7e450doYX95RJek5TGWnwi4uIOw7AFZjPgA9H5IyfJN-TkIueuFwrhgLuCfrBSuPCLUFjpieA1wQ6Gt2lb6bdy5CCMDhxLwYfLpTjvhLhrnp926OBo8fB0-rYCo5aecUieONK3a8kkdF7Ugd18K7yrHHr7jWo5qTtydEkoa7xByuV8l4gyTEj_zvzPX2Nd6yQAf3nN3tYqOLu0-4B_kWvzE8jkv8_HsY-v41pW0a7Sb47UJtrJUk8vBb-Gomh8BNxFRTylr2RBguFzx4h6MLCRURTDKuQg0sL9bzmocc90_xSuo6iiFjiNpsV60lsfcWW8wgigEgZVqWrctiEHZ-idfO92fscH3LXzOVB3sTjOGfsbYH0NlGTPXKlZ34hi-3l06Zc3U3C2VBBJiNpFLgF2fcpetQs1OIiwFZOEIUljsB1EyMZz_xRrerDniS4gaubgOxACHFphj1IsLQ6zDjOH30JuK5RMvJp76XBCE8qY85fR
316,Rockjumper-Worldwide Birding Adventures,Andrew Stainthorpe,Facebook,Winter,10/6/2013,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=487144521350765&set=bc.AbqjclTqN_JfxxjQRAlMuzVG0kaqsRPQKwR5J3VaOQyTt4k0HWAfw9yjAPB61OhUOvLm7CGN_QlczDnG_zr0VvGVp2cvTOF4mu5V5UNe3lcydp21Z_i7cerC1ds-IJ4FvN33tslc0w9HHg28waN2NQ0g_oLR9bOV0cFDZUEdU5hf0Cat5YZi7GgD4KphRGLF_CI&opaqueCursor=AbqmwYwKjdS0XQhVm8e1HFcKIWfKbskctbkEtexWo5v3CtkLtEyO_mTw6kirMM8nB5ww01cJaSmcXWWwkGSAcWEofp71p5EtnE_VAVYBv8bJEJwpBbBO0IRpNMG4FLt3Em2I2L2uJMIQUFJ5GLuMEzUmtB6iIEjT36mGIxK-PX82mcUbUT2UA-an3JvyY0pF_C6kZgRo0cU7p51Ngv5eNIH0gtb8i8Pbh0RGhkzSnoDHxLgeZjPaJ6qTCKxVsY8nEoOq25ddMKYO5pjnIKNOLrVPQeWaCyf42ZHtqcI_lDDDRkrVoy0G_UUZnsF3qzT_pgIzV3Nm8ggAbPopGQGvk5y1XiSk6EGTW4Ak2WTS4tjXM_HCVJvFxySnaRNQFP5g-aYwmMDjqX0i8A0Ya_EUUSp-yg31aUNNUI_tezGg-pEvwcNbCH9CucUTGiP3UH-W0Um_Q5_0KHbmbqiOe3IYdDRp8MDahcmt7VgxojyMCwGgqShU_Oy6O3DSjxcRAhCbRq8
317,latest Sightings-Kruger,Gillian Soames,Facebook,Spring,11/9/2017,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,curled,,,https://web.facebook.com/photo?fbid=1683304981739824&set=bc.Abov7_L78PQihLAsLuxkbES3q7yBUeEEFNTJY29GlFZ-yeWlMMoKvkNGgwoKBhfgi8-HCUft8pgH7v2BcVbCAnlGh1yp9yuHvpDkwdjQjWWH4Dv4JuNryn1NXvu5AUg1g4TOoJXcmsJyNw8eDg3KhrrcBAIU-27HaZmyx6ganQbzCr5a6db66jTWpAFCyeFE0gA&opaqueCursor=AboR6ag4EKCcETrdQ7G_tKLfzhhjm1yDFygMGbQwl-ioLrSIMSmwBvYlBBEqzl77KhyB60ZTx3e4qYcNwgCK1cdRBlftmq7gGB-jFYOe7GHI-lGGFsemnlG6XsG9RdQViwmIpkvKoQ8OjiYGKJ1fJGb9euiTBhZSCv3_UuFdgp3moUUvNgxI0enDxJEdADZxlS46ZtMKicXGgrTI5LaWjNXw995cgSXGh0FvD-FkbcCRrIm_r3vgZura2CYP5_FM0w2_FXtoKCafVdOMLgMHuW4E2LpaRBdyy8C8Lvd3WsvVN9laQulmPqdQV5lhAuniccMRmWLc5s_vBlwvX2HRmG61883AG9CUJJYGm8OHiuNtoz1MfBodTnm86MT0RnRWm_R6hEhPe6dT48A-fyWdx1-rYhz8nctkvFHg0OePJmnnRtxTX5bEdKJtoMtmwzoZCyfQDEy-f2BUreIGF7Tt--AsrHiqgPtt7FDZvssTzCI4PAJZfBPDylRSCqeI0wLhjkI
318,latest Sightings-Kruger,Greyling,Facebook,Summer,31/12/2013,daylight,South Africa,Mpumalanga,Kruger National Park,,H4-2,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=603250696411930&set=bc.Abq3dk4Wl1gJRVKG_hsvAfMwcHVvKu-yhNSkzCTC99T2z3jVDoshVRNMF17l-mINbh6uG_rTYkd9P63kCJDtksZzYsUE7ZSF_PkwYLRamofHWY7mfq0GPCjhx9e11kchcjkUFmMtEUBQR5kT3U6NLaEn2j6C3B3Ax1mG2fSOd54dhLYWdjXTWNrIhSbLi4ipvoQ&opaqueCursor=AbrJmijRw5jtiXO8Txx5tk5QmP0hfAXj9jrkhM5HCkSiYtxwrAJehJ1shEW2Dt9Jq_MKcn8HoFqNxVnXIWe_PQyGUERMhHZUKB-kCjNLhwTO5evncY3RFhJYVNsp-nZ1g_jffQ4_EM1I6VP7PUfqg_6HC4W5nQxYzs8d4chZCw7p9ROJaSf1p1yImeVRaO6av_tHNMrfU62ruDkS7rss6AaLKgHda4UOm12RJHW2fMBkbWzmJ4tlH4ACxnjLOJgOA_tQ2QGt4gfG9_z9fVmcrX8EjELxQaoqVhwab-cuH14lqcRIwaeW2P-hWwTpHLCMmB8vGspmuFw8AK2GfYY6cgNT-xZ6EYCVZnTZdecs8MWm6k3ZjPWzn4uNXT1HR8lvpDmaFjWx3PCB4I3ya5zi_YUt6KTYHbdKwCnRoWd_Ta6N6_2OZy1I28rICuVKR9MdYJPj9wlchezEmW-QL1fW_4T216MY-4O1rv40JARXg6uN_pbbaB6IEgU1IUyxlUoP9X078nwhl8QzIEre59-pMfUhFjfykBQADyYfEojCvD87TOnOXF68TWhLCVLlQQBSuZU
319,latest Sightings-Kruger,,Facebook,Autumn,16/5/2012,afternoon,South Africa,Mpumalanga,Kruger National Park,,"Fayi loop, H2-2",Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=339579229445746&set=bc.AbpJ2oMUEaNeASwBSYMgiTUUNNf5KbZG0DfC9tdki0-EdKdCaQvJT9XJnQlkFU_vTyvfjSiEmcahS4fJsQ0JwT5byiyC1UmfRoFbQqJ0vKgjrYC5xbvneR-dfYHsywyjBNNY3eAaHje3gRM4YcRpQbO7-Cf7O_ZhpnhSGL51RFk_Ce6VBwbWYYkUCafpGPioaSU&opaqueCursor=AbpNnXK4beuSVqe2Zalch5Zbgg6HGnOoOgw4L1x5NBT-O-V-2ZpWOXaKkrLGDqibU7G5pgHe0da0XjbIyyWlNTa-UVno18nRRmqRTuSHg3moo5eH5p97Q2_M5uqqaWm4sIotPaHdcFavqKbUxeTnLrNrLHBZIwAZgUROAehWyo6AJl7WN7bRb3uB-iaKbbyMcLelNVsCgVUPJet-j_GGLTvUgJvsQ8zOKFeHeurarCt9kJ7dqvSxQRYwRrwISc7XqzITUTK0nhVf53d5jeo-txtbBrxppJehow3SW0-acMHFyALSqpfWG_tppFeXlqRHjXETkQlrIuUztqAYtfvhNq46f0VCiA1Z2x_M2jUp4QRjvYNRJ39KUEnH-0889pv6mNF16ribOplr-_9-9t1Es-q6I4tuDmLEmRDDNNnvoNfSv9nml3o7KyEUbqd7MeGa8q1tQ8RBmYvorleR3Jcm_OLAzA1y-mIPWBMCrNVLOLzBg9z4hDNYRQKoEYo1Hs7UXmzV0WxZACE-6xgOOO6yFJ_OEZg6jDur6uFXew1ItQRDFQ
320,Margaret Ruddock Cary,Margaret,Facebook,Winter,3/6/2013,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=10151526391431723&set=bc.Abra1Ihc3becU1Ulc7USSd9FXo0Vv2LTM0-XOHFoHjOk55ULjDvVwBxY3gWHAPXG9Y4_2kQPHWB20LzkEg3hjDIoR34dpmGPXN_1M5kPRXLkgCDH3V6_WNjUyXFh3WP_ovTBzJRpmnMl0uxq-vKwvFz9cu70xkaB8wUX8bo9SoU0nC2Qr5SFvGtsBWKuLDjONok&opaqueCursor=AboSjm0_AXdVegKKvyJS4fhWPRnlfYb6NNqVqmVRDilApJrU0RAZUUy9ESdcnNrX2KPTKsXILDMKr6LZuVhDaIXQDKSXtcefKtN1xUEYyYvumEy9Uu0xmZwx0HskWInmLYNNGpJdK4VVAvRUCnVDa3sMwlk6LC4YDx1Ee8SGiM9ABOxJG31S4WYYod1HuqLwO3YwwgaGPdT4yW56ldAxbsa2gbkntnIuZPfw6WB-wmqgTWw283qFn3b30ZOVPaBi9hB7yHPndVycscYQMzxA-H76Wr7aYTfw550oj7QCvslNUkZZOYJ372Fpv8VtV3rvbMIz5NLiUXOxDxegEsc25kJGYQVIUbkjKJUQu0NVyFGtZkrwEKs-AlMA2Wg_b7CFbMn3kMr6onQj7Dvhz28a36tKesZbr7rKYN8nPqehdtjRcdKRDf_xcjP3kLED6edghGklKN2Jrrnk3uacBBUGW5r567f8MYa9JQ8QecJTFhcjjudmB2r2TdJLrqJEUY3BZtk
321,Africa Spear Safaris,Sian Green,Facebook,Summer,28/2/2019,daylight,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,lying on the grasses,,,https://web.facebook.com/photo?fbid=3005941092756802&set=bc.AboJzkBseL6jk-bsXWRPFfnYjaNTboUisgtJeUgEehSqIN_eEjI64ze3fa6GS44NhGVQkK5o9g8RRbarTzWgLtZM5n5oZmLZXbyJHzovYeiGyDedcMqcFA27prQZ0Z1OxqM1wFQ-6hfVzNJd3-3Xleix4Rw6oK5MFbbqS2r2KhbhDAr8_TEX8pV0GlryQB0kSnc&opaqueCursor=Abrz4nB51i3UV1xSBVn7hycDOvMkd8XsxdUjoDRu_OizA0um8G6yaasr_7_brk3-WHkO5caP_6MhYzZDcUT7yDaERFWRX0faejvF1NhsvDkM3GaT99LWHx-ZINkLu3x68NG61KSGJdY9h5aMhLSAvjLBpvc_nddixMc9dgeGJxZrZ3Dy2LORvromPidsDMbZ4qdGdA8eNYo3XNGru5mZpBa4ttiqwfjNh3LKlqS-QCnr2TiMC5MrR7JhkoVDC7wN8WtsfE_jLwG-tMDW6yib_9sNRmZvWfVS1DllVYen2Im_zHbagGDz4Z1M4CfaMBHL4_7LI0rn74wPOXhxiQOGf_yErcOz9B7rsGlUkhPwsYm92F7gk1Cpg5ncsL0t7HdyNH1oSYkjo_BpJmY-1ErEsEmXb9ZNx1O69h5y5t264_hRe65G-q5oMFyYYh-Vuu8cpePjGDRojjKX509ejgWZpgXVrwcarV9zn7bXa6jIkDGP7A
322,latest Sightings-Kruger,Lynda,Facebook,Summer,4/12/2018,morning,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo/?fbid=2406478149422500&set=bc.Abp2881hpGk70dughjtut7tz_GXzQXzGJMmNrdM4Tms1GUw-vRNzXhejcT4NV7Oc5Yyhs1s0JJx7LbcG_XlxKgFuOMPanATHrvShWbHaWTV7f0YO01fL3Y1EQi4qepmxxEjkV8FgxahJNr-kjbGNJCpBNLsht-aqf6VMnAYPFi17Xdu75LBJ0uFA2tyc4Vt5UPo&opaqueCursor=AbqxGjIXyILvKmzz9ZrRb5aM_zl90FTcB4a7YsRsyPUxhq79QuyWMv55TGh5dt77S8C7cxZLaU_2Ik3waUkWcOAhzFS6pAhnk42gLahEkQaToKHanA0x-NRE74dZHe3d3y0ZGGYGL7pzu6so7Nl_rYzonuxG3VYMD7PSyzycGSXTb6nH8gaTvvNKdFoSkZ7WAvIUkqUftVjez36WJRk4HDJJk1hllOj5D2NFlFAu80fE1i4hLIAapIh2Yxa08BmcWeVuzxwu0ENj1AeMVKU7fBzZz7zIBo0hy36mA9UyLhwilFZ7w4vMZCSDOkpUJQof1cJDelxLCytJ6Z-pq_Azy4fncJcMltDnHV52b3ICftqoMmBrDa3OybA9rOLAH13kUZ9nen-3os0ZnwoIciVMKgKiIpAaWBArMvx7fgsSFZGaVQ_VJFxZ0s18k76bTBE4vK19kdwhw8mDGYegvRBnAjKkF16FfcxK1s22_6PtBpynJIXyPL0px-93uh0vnuH00iiULxK7hbTBSeUGSj5TsZiFcOtEdE_sSg7zQGkPy04UmQ
323,latest Sightings-Kruger,Muhammad Islam,Facebook,Winter,17/6/2017,evening,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=1574158335987823&set=bc.AboFQA6rCZGzWfC7AotAyOI4p3E_FjD32QMy-PtZCDw87JvR2I2aEZTRCfJy5sSygMd_-TzAg7BcB65khdQGF09LTXDgy_SjxsfvGKmYzodFySDApIQaiBTjSN8o302uqiBOPEvVRm0grgZ5XY5vgJDlzfOAFx1AraM3eMfVgUlwEcPpnZQ6toBom8-z5ZEYCkU&opaqueCursor=AbpEx08Ifbl_geu6XnJk-MOIKM3619WYmrWT2NkogWpeYnSGZgJorWomdwRHZZpjdxZXy7SnPwf1PgnNoEA2r7jvR5fYQPYPXlDiQ9ntgrksASxb6PUT07va9leiEZKiarg9A3wCKzGyKBlRYgaYC7N_odcB0sxf09ij6BbZdbiNxQUYB74d3LWywkRyfTNmAkpfYCRuOPjq2_u2g3Y71W__B-_y0ckZaNKVR2ZJ4kg0qmsrLbjyoXoWbdpR_B73pEXtPpOlGzofDqOkjtaFG7asqohqHuevhAUkYGDxJBuV6aXiz8R-JDUljCef7Ue35iTj-f2G8yAmjepzjK5J1Xz_85Vl2bInObNGR6Py7c6ckwK6a4xCo0CjKLEl_Hie-KgVJCqayDgAZUtfedYvr2cBZW07iNyyjhIELZ62fC9urMhrMaIuEk7S3Q7OzIlZfTmNFgLBLKWw8S9a5AggEJ4a5e6xnY0RcH7KM9FZrvuY5z6W_KTRuB2077OFPPxbJuH4Fr5Tt6gCDoZzLV4OSWexdkPCXVPv26le7svwRWiXaWxbrC6LW20Y_iFwz1dJo674Oj-pIs92YGLRIucv1nQ2
324,latest Sightings-Kruger,Rufus,Facebook,Autumn,13/3/2013,afternoon,South Africa,Mpumalanga,Kruger National Park,,Crocodile Bridge,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,road,walking,,,https://web.facebook.com/photo?fbid=469766323093702&set=bc.AboiMhdAr5Xywrrq0jlxE8sp463m6z5f9Pk-NwUc5j1Lvg0xG9cP4Fp6MXf0RVE0wIcGU-5ri2JrWFV8Ts_UaoYxFjElwqTgEqFHLxEU2lTvWyk_yvGkYwlukIoLe4UU4CD16vc3g7QPmAuCxFrKG4UPghGgDqNV88W8j-5_oJNl09i5wGW4EvFhxuBrAe-NQ8o&opaqueCursor=Abr4DvCG4ZCOyHr5kB_UXdh9QwzOjqulIVaQuFQ1bIOqfFoinlI-wK4psmGKlvBFyBY2FG5ySm6QxiY_yb57Xx_6nXNwWqF_FpgZCxKlwqtusTulmqsXifCqVOfSU5TXM7gZEpvWGQ_JH1smVHH_YcwckqaBoP50TaH4RYeAPzYpVbUaOLUrA18l8tPa_azj7onjhrfhSIr4FVpAEjIzeY0XdJB4ZiVEN1CMzFuuInLz5yylCAY57YTgtSD6X9JaiPBHYUtLhYMADDEgysEolx9zf--wX94fshgvfssrJeJB9iS9gwmjY_GIe_lkL5fjD4jfCoyuUPxftsPp1nwBGZrqJtoda5NWuaNnnnCP-1DH4TjyffG7_d32qKUA3Lx1MNMZBXN2ghg_b_te0Se5EhjCuXPGgQ6wW_JA1sIVEPllbAe2cvDpqKzZJoyOYzWLqNCi7qYpFS7406WJh_Zg1xX3TmS6TO7nhtbM51Wo1bh3nw
325,latest Sightings-Kruger,Anri,Facebook,Summer,25/12/2017,morning,South Africa,Mpumalanga,Kruger National Park,,,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=1815638735173114&set=bc.AbrrLdl9uljveBHck2qLSKNfVSwgGyfv8H4oAd0fns8g2mT_sqW9hnrLuXMUYiGpkbD5srTdNTVKPQQs1uiFIr72PYs9z-NLqxHUtrLlx04SOnBsYZe-qg-c9w7O4SbhbIBsKx31PeIuEJ1KqzIMCMqutsc06SsocEWeTPnpeJU9TO07yTDjKgZyjcpMjpxcePE&opaqueCursor=AbqNTHC-L9eBD_LOeEbLN4IDVhRiS4MaYL-kl2HE86bTaDiITm6sMeMcVW9m8pzVNZUyAEV-kPoeU5btuFLF4f-mw8zzITD4mfmi6qVSWv0TWCi2nUGK1D7Cz0vGph_uVqG7_gmFpf3cXCcmcuVM3bxETXsnGwKwiSsfcFAytrpVIrGAGgZFzLfiHl_sgLZykk7kcyqhX6htFMf2hoKd7w56BhSG5lANH5D5ywAFNoiLn8bObnSJJlftqS3EjgsqdaGNW51043qxunssBPd925n6jkxDSWvKMYLzViLfXny8b35DSoBEaeZT6kxKZQqUjhXwRL1DvUxMOGQKOiNyUzrz5uU_hAeFO4Yq--mq-LKfCd91SvaxchtcLqEAce47FVt4iYUnnNRA5FJpA4ftLmM9tNu50qz8Ux6RWx8fjBn6PJMU98ORa5J3grhXu-MEVr8dZjNUmo5cwq-osOOopeBjNJe2c0LG9i9hohAYYo1do5wA9vZ9n76L89_TcBR6Hd7yLWw0X7nllt7BbjBcqv2YZnX999fsX5LW3xSCV8Afo0IM5IAocDPkpmpvz7zpFE1t_ZOeF97G_4FTA34UlWmnQg6a36Ze4B3RD2hkffveZg
326,latest Sightings-Kruger,Doug,Facebook,Autumn,12/5/2013,daylight,South Africa,Mpumalanga,Kruger National Park,,H4-1,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=493613287375672&set=bc.Abo0I_6QXT5xwFjpQ_j-xjLOnf347WcD908Mn744olSKC-3zIfqgb3u4zToqeEaTCmE5CgDnXPTtsvDdLOM9TYxUbo0VOYMKYUYfIuvIBezfEJ5YNoFk93-Q5hMC2qM33D7XJKUEYERVW1W5co5hWcWaDR5PRXOKi4OZWzxP8l9x3q8rYnGlhHCJiDkV7eguCAM&opaqueCursor=AbreGD0xpM8poiJiO1lohcnBXuv5ukBNq2YqT9i0qnnWJeQVhxku3aYtNmWq9wKeJ5w4Ugd8iwctnkDZESI8TflnKYAqv5p8dFcTNw0iV0-aqAoYo-wskqq--CCT0UW2RMf3h3XlYk84dJ8iKHiHu3-5OKk604n1dgtXZxB0vDCOCdsn6vS8-kRf7o_mCJzfWLoUQvR4IRMWYX6BN3ret1Ivm7RDIrJVShSNKc9kEGUFJ8FDFZLgV7eKTRAP8O_qLD9k0YmC59f7FQvty2DnL-PVczr_3BgfosYHvMRjDO0dKJtxL4ZvJfCZrewTUpYuSwZLywjOc2COruhBGAjTH50nfuE5U2jAM57fZt4qlXi7ZGKCac_p3kHpinSXlzlEdXhQMYjI3KfhUnKOkBrF-MjjOpDrfoNiNuDXHtA9985sF7qH1vOuWSU_rNDM8BW5RxPOjS1VQemP1PJqdJssbKQDViIFBqEaIseBQw3FBjsHUmNPHrlt1-uBcPDiwy0wwyg-CblQeb02hsi2IIwvgvYYH703tr1kL2Ac_RIiyfbdIB-4gtk1yUQ5_pKuXRMJzno
